unique_id,state_id,county_id,year,state_name,county_name,tree_cover,pct_tree_cover,tree_diversity,land_area,water_area,total_area,avg_max_temp,avg_pm25_cdc,avg_precip,avg_sun,population,pct_rural,class,jenks,poverty_all,poverty_under_18,median_household_income,total_mortality,respiratory_mortality,infection_mortality,mental_mortality,cancer_mortality,nervous_mortality,circulatory_mortality,digestive_mortality,genitourinary_mortality,external_mortality,obesity_pct,sufficient_pa,any_pa,Ozone_2nd_Max_1_hr,Ozone_4th_Max_8_hr,PM25_98th Percentile_24_hr        ,PM25_Weighted Mean_24_hr        
1001_2000,AL,1001,2000,Alabama,Autauga,305168,80.2141511,6,380441.6,6368,386809.6,75.32,15.08,2.61,18125.26,43671,42.0021623,Urban,1,10.5,14.1,42463,356,22,0,0,81,15,148,16,0,32,31.48,49.275,72.465,NA,NA,NA,NA
1001_2005,AL,1001,2005,Alabama,Autauga,305168,80.2141511,6,380441.6,6368,386809.6,73.67,16.25,4.27,17316.85,49676,42.0021623,Urban,1,10.4,14.7,45019,454,38,0,11,89,25,181,19,10,35,34.92,50.19,72.405,NA,NA,NA,NA
1001_2010,AL,1001,2010,Alabama,Autauga,308603,81.1170492,7,380441.6,6368,386809.6,73.93,13.07,3.37,17753.28,54571,42.0021623,Urban,1,11.9,17.5,53049,433,46,14,24,85,16,155,23,10,36,37.265,50.945,72.555,NA,NA,NA,NA
1001_2015,AL,1001,2015,Alabama,Autauga,308603,81.1170492,7,380441.6,6368,386809.6,NA,NA,NA,NA,54838,42.0021623,Urban,1,12.7,18.8,56580,523,67,14,13,130,34,151,21,13,36,NA,NA,NA,NA,NA,NA,NA
1003_2000,AL,1003,2000,Alabama,Baldwin,736227,72.3593634,8,1017459.2,280019.2,1297478.4,77.18,13.57,2.78,18724.76,140415,42.2790991,Urban,1,9.7,15.5,41283,1322,113,34,32,336,58,479,53,30,100,28.09,51.9,72.87,0.12,0.097,NA,NA
1003_2005,AL,1003,2005,Alabama,Baldwin,736227,72.3593634,8,1017459.2,280019.2,1297478.4,75.89,13.63,4.83,18127.16,162183,42.2790991,Urban,1,11.4,18.9,42804,1576,120,20,48,354,96,612,50,34,130,30.47,55.245,75.36,0.09,0.074,26,11.7
1003_2010,AL,1003,2010,Alabama,Baldwin,730556,71.8019946,7,1017459.2,280019.2,1297478.4,74.87,12.77,3.96,18381.89,182265,42.2790991,Urban,1,13.3,20.2,47618,1798,178,35,93,434,92,619,74,42,124,33.16,52.905,75.365,0.09,0.074,20,10.2
1003_2015,AL,1003,2015,Alabama,Baldwin,730556,71.8019946,7,1017459.2,280019.2,1297478.4,NA,NA,NA,NA,202995,42.2790991,Urban,1,12.9,19.6,52387,2092,208,35,117,466,165,675,89,49,161,NA,NA,NA,0.07,0.063,18,8.6
1005_2000,AL,1005,2000,Alabama,Barbour,435175,76.8421636,5,566323.2,12569.6,578892.8,76.31,13.91,2.54,18287.26,29038,67.7896347,Rural,1,22.2,28.6,26612,303,20,0,0,77,0,126,0,11,18,37.555,39.34,61.675,NA,NA,NA,NA
1005_2005,AL,1005,2005,Alabama,Barbour,435175,76.8421636,5,566323.2,12569.6,578892.8,74.75,14.8,3.64,17503.6,28027,67.7896347,Rural,1,22.4,31.5,29534,326,29,10,0,66,24,123,0,13,26,42.175,41.07,62.79,NA,NA,NA,NA
